Households,"Households: Less than $2,500","Households: $2,500 to $4,999","Households: $5,000 to $7,499","Households: $7,500 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $49,999","Households: $50,000 to $74,999","Households: $75,000 or more","% Households: Less than $2,500","% Households: $2,500 to $4,999","% Households: $5,000 to $7,499","% Households: $7,500 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $49,999","% Households: $50,000 to $74,999","% Households: $75,000 or more"
322442,15688,28726,23557,23473,25652,21140,23491,21454,21604,17628,16947,14158,22255,14231,15791,11355,5292,4.87,8.91,7.31,7.28,7.96,6.56,7.29,6.65,6.7,5.47,5.26,4.39,6.9,4.41,4.9,3.52,1.64
23150,594,1626,1709,1575,1740,1641,2097,1842,1873,1505,1408,1156,1589,944,893,724,234,2.57,7.02,7.38,6.8,7.52,7.09,9.06,7.96,8.09,6.5,6.08,4.99,6.86,4.08,3.86,3.13,1.01
11186,609,1021,950,918,941,785,1046,809,868,545,592,489,689,337,378,169,40,5.44,9.13,8.49,8.21,8.41,7.02,9.35,7.23,7.76,4.87,5.29,4.37,6.16,3.01,3.38,1.51,0.36
6263,281,607,564,588,530,491,526,497,380,357,350,294,353,174,173,85,13,4.49,9.69,9.01,9.39,8.46,7.84,8.4,7.94,6.07,5.7,5.59,4.69,5.64,2.78,2.76,1.36,0.21
9762,181,668,670,710,711,842,825,810,819,631,652,454,736,373,422,235,23,1.85,6.84,6.86,7.27,7.28,8.63,8.45,8.3,8.39,6.46,6.68,4.65,7.54,3.82,4.32,2.41,0.24
11967,650,1387,1323,1219,1182,1027,1116,799,792,513,516,311,425,223,243,175,66,5.43,11.59,11.06,10.19,9.88,8.58,9.33,6.68,6.62,4.29,4.31,2.6,3.55,1.86,2.03,1.46,0.55
8594,416,878,779,807,911,721,851,644,689,441,446,272,302,197,144,80,16,4.84,10.22,9.06,9.39,10.6,8.39,9.9,7.49,8.02,5.13,5.19,3.16,3.51,2.29,1.68,0.93,0.19
8151,450,620,756,665,941,647,628,592,661,408,404,271,441,248,207,147,65,5.52,7.61,9.27,8.16,11.54,7.94,7.7,7.26,8.11,5.01,4.96,3.32,5.41,3.04,2.54,1.8,0.8
18821,624,1344,1293,1480,1517,1436,1671,1362,1674,1272,1179,931,1166,750,631,343,148,3.32,7.14,6.87,7.86,8.06,7.63,8.88,7.24,8.89,6.76,6.26,4.95,6.2,3.98,3.35,1.82,0.79
10681,614,1554,1180,976,1024,809,906,776,714,470,387,304,430,208,165,126,38,5.75,14.55,11.05,9.14,9.59,7.57,8.48,7.27,6.68,4.4,3.62,2.85,4.03,1.95,1.54,1.18,0.36
32713,1305,3075,2581,2394,2256,1994,2194,2070,2276,2082,2350,1660,2599,1407,1458,731,281,3.99,9.4,7.89,7.32,6.9,6.1,6.71,6.33,6.96,6.36,7.18,5.07,7.94,4.3,4.46,2.23,0.86
15922,716,1429,1448,1492,1507,1486,1554,1189,1146,859,742,523,680,377,438,258,78,4.5,8.98,9.09,9.37,9.46,9.33,9.76,7.47,7.2,5.4,4.66,3.28,4.27,2.37,2.75,1.62,0.49
71767,1415,2837,3198,3859,4328,4343,5081,5173,5961,5584,5242,4317,7096,4823,5171,2595,744,1.97,3.95,4.46,5.38,6.03,6.05,7.08,7.21,8.31,7.78,7.3,6.02,9.89,6.72,7.21,3.62,1.04
22105,1262,2557,2072,1873,1817,1488,1720,1618,1749,1339,1148,730,1235,670,482,253,92,5.71,11.57,9.37,8.47,8.22,6.73,7.78,7.32,7.91,6.06,5.19,3.3,5.59,3.03,2.18,1.14,0.42
42322,1497,3251,3144,3146,3400,3270,3203,2984,3297,3044,2597,2098,2942,1753,1541,770,385,3.54,7.68,7.43,7.43,8.03,7.73,7.57,7.05,7.79,7.19,6.14,4.96,6.95,4.14,3.64,1.82,0.91
14198,756,1249,1313,1192,1380,1314,1271,1119,979,751,741,495,654,389,326,162,107,5.32,8.8,9.25,8.4,9.72,9.25,8.95,7.88,6.9,5.29,5.22,3.49,4.61,2.74,2.3,1.14,0.75
90654,3041,6004,5310,5457,5454,5305,6702,6884,7892,6366,6518,5014,7767,4832,4815,2681,612,3.35,6.62,5.86,6.02,6.02,5.85,7.39,7.59,8.71,7.02,7.19,5.53,8.57,5.33,5.31,2.96,0.68
